foodID,name,portionsize_string,portionsize_value_kg,co2e_kg_per_kg,resnet50classlabel,source,information
0,Bottle of Wine,750ml bottle,0.75,1.4,wine bottle,https://ourworldindata.org/food-choice-vs-eating-local,
1,Red Wine,750ml bottle,0.75,1.4,red wine,https://ourworldindata.org/food-choice-vs-eating-local,
2,Bottle of Beer,330ml bottle,0.33,1.7,beer bottle,http://www.avnir.org/documentation/book/LCAconf_munoz2_2012_en.pdf,
3,Pint of Beer,pint of beer,0.57,1.7,beer glass,,
4,Bottle of Soda,330ml bottle,0.33,1.1,pop bottle; soda bottle,https://www.greenerpackage.com/metrics_standards/coke%E2%80%99s_carbon_footprints_are_revealed,
5,Pot of Coffee,three cups,0.03,16.5,coffeepot,https://ourworldindata.org/food-choice-vs-eating-local,
6,Cup of Coffee,cup of coffee,0.01,16.5,coffee mug,https://ourworldindata.org/food-choice-vs-eating-local,
7,Espresso,single 7g shot,0.007,16.5,espresso,https://ourworldindata.org/food-choice-vs-eating-local,
8,Cup of Tea,teabag,0.00175,26.5,teapot,https://steenbergs.co.uk/blog/whats-the-carbon-footprint-of-your-cuppa,
9,Baguette,400g baguette,0.4,1.4,French loaf,https://ourworldindata.org/food-choice-vs-eating-local,
10,Pretzel,pretzel,0.1,1.4,pretzel,https://ourworldindata.org/food-choice-vs-eating-local,
11,Bagel,bagel,0.1,1.4,bagel; beigel,https://ourworldindata.org/food-choice-vs-eating-local,
12,Apple,large apple,0.2,0.4,Granny Smith,https://ourworldindata.org/food-choice-vs-eating-local,
13,Banana,banana,0.15,0.8,banana,https://ourworldindata.org/food-choice-vs-eating-local,
14,Pineapple,large slice,0.15,11.1,pineapple; ananas,https://books.google.co.uk/books?id=Gp-4LlAkbqsC&pg=PA36&lpg=PA36&dq=pineapple+co2e&source=bl&ots=Ay0ez9lpGE&sig=ACfU3U22LhYw92qhBqQ_G4B7fhxMSp7TAA&hl=en&sa=X&ved=2ahUKEwiQ_L_Tj-vqAhV2QkEAHa_TBAUQ6AEwAHoECAoQAQ#v=onepage&q=pineapple%20co2e&f=false,
15,Orange,orange,0.1,0.3,orange,https://saiplatform.org/uploads/Library/WG%20Fruit%20-%20ART%20Final%20Report.pdf,
16,Lemon,lemon,0.1,0.3,lemon,https://ourworldindata.org/food-choice-vs-eating-local,
17,Fig,fig,0.04,0.5,fig,https://core.ac.uk/download/pdf/76958641.pdf,
18,Strawberries,100g portion,0.1,1.7,strawberry,https://saiplatform.org/uploads/Library/WG%20Fruit%20-%20ART%20Final%20Report.pdf; https://www.researchgate.net/figure/Greenhouse-gas-emissions-per-1-kg-of-strawberries_fig2_301270042; https://core.ac.uk/download/pdf/76958641.pdf,
19,Cucumber,cucumber,0.3,0.23,cucumber; cuke,https://core.ac.uk/download/pdf/76958641.pdf,
20,Courgette,courgette,0.2,0.2,zucchini; courgette,https://core.ac.uk/download/pdf/76958641.pdf,
21,Corn,100g portion,0.1,0.5,corn,https://core.ac.uk/download/pdf/76958641.pdf,
22,Bell Pepper,bell pepper,0.15,1.1,bell pepper,https://core.ac.uk/download/pdf/76958641.pdf,
23,Pomegranate,150g portion,0.15,1.3,pomegranate,,
24,Lettuce,lettuce,0.5,0.4,head cabbage,https://core.ac.uk/download/pdf/76958641.pdf,
25,Cauliflower,cauliflower,0.5,0.4,cauliflower,https://core.ac.uk/download/pdf/76958641.pdf,
26,Broccoli,broccoli,0.5,0.4,broccoli,https://core.ac.uk/download/pdf/76958641.pdf,
27,Mashed Potato,300g portion,0.3,0.3,mashed potato,https://ourworldindata.org/food-choice-vs-eating-local,
28,Mushroom,150g portion,0.15,0.27,mushroom,https://core.ac.uk/download/pdf/76958641.pdf,
29,Avocado,small avocado,0.08,5.3,guacamole,https://sustainablefoodtrust.org/articles/why-our-love-for-avocados-is-not-sustainable/,
30,Ice Lolly,single lolly,0.1,2.8,ice lolly; lolly; lollipop; popsicle,,
31,Ice Cream,single scoop,0.1,2.8,ice cream; icecream,,
32,Pizza,400g pizza,0.4,3.5,pizza; pizza pie,https://faseb.onlinelibrary.wiley.com/doi/abs/10.1096/fasebj.31.1_supplement.lb386,
33,Crisps Packet,32.5g packet,0.0325,2.5,packet,https://www.campaignlive.co.uk/article/pepsico-explains-measured-carbon-footprint-walkers-crisps/941668,
34,Bowl of Soup,400ml bowl,0.4,0.3,soup bowl,https://ourworldindata.org/food-choice-vs-eating-local,
35,Chicken Pie,300g pie,0.3,6.1,potpie,,
36,Beef Burger,6oz burger,0.17,59.6,cheeseburger,https://ourworldindata.org/food-choice-vs-eating-local,
37,Pork Sausage,sausage,0.15,7.2,hotdog; hot dog; red hot,https://ourworldindata.org/food-choice-vs-eating-local,
38,Poultry Meat,250g portion,0.25,6.1,rotisserie,https://ourworldindata.org/food-choice-vs-eating-local,
39,Beef Meat,250g portion,0.25,59.6,meat loaf; meatloaf,https://ourworldindata.org/food-choice-vs-eating-local,
40,Lamb Meat,250g portion,0.25,24.5,butcher shop; meat market,https://ourworldindata.org/food-choice-vs-eating-local,
41,Pork Meat,250g portion,0.25,7.2,unknown,https://ourworldindata.org/food-choice-vs-eating-local,
42,Tap Water,2 litre jug,2,0.001,water jug,https://sciencing.com/carbon-footprint-plastic-bottle-12307187.html; https://tappwater.co/us/carbon-footprint-bottled-water/,Tap water causes up to 1000 times less CO2 emissions than bottled water. Drinking 2 litres of bottled water every day for a year is equivalent to driving 500 miles (1kg CO2 per 6km). Drink tap water.
43,Bottled Water,500ml bottle,0.5,0.2,water bottle,https://sciencing.com/carbon-footprint-plastic-bottle-12307187.html; https://tappwater.co/us/carbon-footprint-bottled-water/,Bottled water causes up to 1000 times more CO2 emissions than tap water. Drinking 2 litres of bottled water every day for a year is equivalent to driving 500 miles (1kg CO2 per 6km). Drink tap water.